0.000000000000000000e+00 1.265902996514698120e-01 -2.775527395402467568e-03 -4.168708963497968351e-02 -9.231560718549877351e-03 9.737366590281990725e-03 1.219556868685467942e-02 -2.432242775722404104e-03 1.688625413523681031e-03 3.898195074695444976e-05
1.000000000000000056e-01 1.154303364211849425e-01 1.893261363484525714e-03 -1.039199696951796995e-02 -1.044956120564038970e-02 -2.933638631110421086e-02 -7.223091884177190725e-03 -7.730203077315077678e-03 -4.742405910883746786e-03 -1.092067895586656436e-02
2.000000000000000111e-01 -1.110913824668361555e-01 -3.119092722307544030e-02 3.835095805277046604e-03 -2.468769232371879202e-02 -1.533535246026763652e-02 -1.213983296350254135e-02 -1.146969094730937444e-02 -1.700338362504847864e-02 -1.485100888451883726e-02
3.000000000000000444e-01 -2.746721000399380830e-01 -7.289865926299761434e-02 1.103637846083189988e-02 -6.831818453276378156e-02 -2.072711082308902053e-02 -1.422136323916599332e-02 -1.794107636585585280e-02 -1.510304587352193778e-02 -1.925334977460215966e-02
4.000000000000000222e-01 -1.255444301230401460e-01 -3.289118185198870725e-02 -2.118029746868781149e-02 -3.289312006683940692e-02 -2.526854486296121333e-02 -1.986923252419181898e-02 -2.591656410494704021e-02 -2.159873731674305866e-02 -2.348963360768216088e-02
5.000000000000000000e-01 7.472804318858421169e-02 -1.328048023004065326e-01 -1.310738815882734991e-02 -2.489894466779186619e-02 -4.065615573958163143e-02 -2.467695823788419729e-02 -2.247600046033845084e-02 -2.037950569526574343e-02 -2.005322093751309501e-02
6.000000000000000888e-01 6.201685335725546505e-03 -8.411376205682921658e-02 -6.655424486503266901e-02 -1.181530530945392940e-02 -1.185280609748097340e-02 -1.362035733101885429e-02 -2.061288934687779267e-02 -1.916989417635423312e-02 -1.619803490411066485e-02
7.000000000000000666e-01 2.995530443092116885e-02 -2.097974665736832348e-02 -2.954223128358546627e-02 -3.735415761669952373e-02 -2.265777684899318578e-02 -1.339680130657871886e-02 -5.174648822220134434e-03 -1.228257582255347022e-02 -1.313588028649181547e-02
8.000000000000000444e-01 3.447795626428660359e-02 2.059892268396970594e-02 -6.158577067798204352e-02 4.372307156659200125e-03 3.056788544954057094e-03 -6.184295061410456824e-03 3.502054599162640613e-04 -6.983451017513417694e-03 -4.789627117395029755e-03
9.000000000000000222e-01 6.946804605821790823e-02 3.027021811622780320e-02 7.728724734471183189e-02 -3.915773284147881436e-04 -5.632667471477934007e-03 5.872684359801410431e-03 6.564087219588527616e-03 3.250028611093257018e-03 3.048355356913692166e-03
